E-NET, bicubic, CSCN, DRCN, HR, LapSRN, ScSR, SelfExSR, SRCNN, srresnet, swt, VDSR, 
32.6655451, 31.2018661, 32.4098847, 32.5588932, 39.8411539, 32.6676913, 31.7652367, 32.3146899, 32.1889361, 32.8015318, 32.7472548, 32.5588932, 
0.8822345, 0.8493443, 0.8771505, 0.8799760, 0.9904733, 0.8817349, 0.8627812, 0.8752545, 0.8692001, 0.8832826, 0.8840039, 0.8799760, 
