bicubic, E-Net, HR, LapSRN, ScSR, SelfExSR, SRCNN, SRResnet, swt, VDSR, 
21.9314092,24.3581199,35.4859922,23.7289008,22.7415144,23.0315934,22.9411395,23.9398659,24.32449623,23.6799696, 
0.5943453,0.7304692,0.9927981,0.6978453,0.6432439,0.664194,0.6487046,0.7211313,0.7197113,0.6933851, 
